no,id,title,original_title,original_language,popularity,release_date,vote_average,vote_count
0,1423191,Resident Evil,Resident Evil,en,556.6877,2026-09-16,7.295,178
1,1101383,The End of Oak Street,The End of Oak Street,en,514.5001,2026-08-12,7.0,1251
2,1240889,Teenage Sex and Death at Camp Miasma,Teenage Sex and Death at Camp Miasma,en,64.8235,2026-08-06,6.5,135
3,969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,en,684.7189,2026-07-29,7.857,2783
4,1514863,Best of the Best,Best of the Best,en,48.3659,2026-09-18,7.063,8
5,1368337,The Odyssey,The Odyssey,en,377.4824,2026-07-15,8.0,3807
6,1641629,You+Me - Against the World,Toi+Moi - Seuls contre tous,fr,75.2724,2026-09-18,5.7,24
7,1339713,Obsession,Obsession,en,142.7581,2026-05-13,8.2,5623
8,1451944,Lust Stories 3,Lust Stories 3,hi,52.4475,2026-09-18,7.0,3
9,1279493,The Get Out,The Get Out,en,32.6272,2026-06-18,6.0,82
10,1108427,Moana,Moana,en,216.803,2026-07-08,7.363,705
11,1083381,Backrooms,Backrooms,en,89.4898,2026-05-27,7.038,3345
12,1228834,The Fix,The Fix,en,78.2818,2026-09-10,7.154,13
13,1137844,Mayday,Mayday,en,119.6787,2026-09-03,8.032,706
14,1058424,Hope,호프,ko,99.6239,2026-07-15,7.4,79
15,687163,Project Hail Mary,Project Hail Mary,en,99.5429,2026-03-15,8.638,7850
16,1284186,Sacrifice,Sacrifice,en,28.7784,2026-04-09,4.9,13
17,1204680,Coyote vs. Acme,Coyote vs. Acme,en,485.616,2026-08-20,7.6,458
18,1329016,Tony,Tony,en,47.9643,2026-08-07,7.601,84
19,1084244,Toy Story 5,Toy Story 5,en,152.0103,2026-06-17,8.361,2206
0,1124142,The Rivals of Amziah King,The Rivals of Amziah King,en,53.0336,2026-08-13,6.688,69
1,1284465,The Death of Robin Hood,The Death of Robin Hood,en,61.2509,2026-06-18,6.224,317
2,1084244,Toy Story 5,Toy Story 5,en,152.0103,2026-06-17,8.361,2206
3,1656489,Sultana,Sultana,tr,59.5773,2026-04-17,7.0,3
